Código FIPE,Modelo,Ano,Mês de Referência,Preço
021379-9,C-300 Sport 2.0 16V Aut.,2019,agosto de 2020 ,"R$ 222.119,00"
021236-9,C-300 Sport 3.0 V6 231cv Aut.,2011,fevereiro de 2021 ,"R$ 73.799,00"
021122-2,C-320 Elegance 3.2 V6 24v 4p Aut.,2005,setembro de 2021 ,"R$ 58.032,00"
021122-2,C-320 Elegance 3.2 V6 24v 4p Aut.,2005,outubro de 2021 ,"R$ 58.895,00"
021379-9,C-300 Sport 2.0 16V Aut.,2019,setembro de 2020 ,"R$ 219.731,00"
021236-9,C-300 Sport 3.0 V6 231cv Aut.,2010,março de 2021 ,"R$ 57.445,00"
021179-6,C-350 Avantgarde/ Elegance 3.5 V6 272cv,2008,dezembro de 2021 ,"R$ 56.770,00"
021122-2,C-320 Elegance 3.2 V6 24v 4p Aut.,2005,agosto de 2021 ,"R$ 57.182,00"
021368-3,C-300 Cabriolet 2.0 245/258cv Aut.,2019,março de 2020 ,"R$ 278.541,00"
021379-9,C-300 Sport 2.0 16V Aut.,2019,outubro de 2020 ,"R$ 221.844,00"
021236-9,C-300 Sport 3.0 V6 231cv Aut.,2010,janeiro de 2021 ,"R$ 58.878,00"
021368-3,C-300 Cabriolet 2.0 245/258cv Aut.,2019,janeiro de 2020 ,"R$ 270.578,00"
021122-2,C-320 Elegance 3.2 V6 24v 4p Aut.,2004,junho de 2021 ,"R$ 46.030,00"
021122-2,C-320 Elegance 3.2 V6 24v 4p Aut.,2004,maio de 2021 ,"R$ 45.356,00"
021368-3,C-300 Cabriolet 2.0 245/258cv Aut.,2017,fevereiro de 2020 ,"R$ 246.142,00"
021122-2,C-320 Elegance 3.2 V6 24v 4p Aut.,2004,julho de 2021 ,"R$ 46.714,00"
021179-6,C-350 Avantgarde/ Elegance 3.5 V6 272cv,2007,setembro de 2021 ,"R$ 51.821,00"
021185-0,C-350 Sportcoupé 3.5 24V  272cv,2006,dezembro de 2021 ,"R$ 77.090,00"
021006-4,C-36 AMG,1996,junho de 2021 ,"R$ 36.281,00"
