Código FIPE,Modelo,Ano,Mês de Referência,Preço
801016-1,SUPER CITY 150,1995,setembro de 2021 ,"R$ 4.224,00"
801014-5,SST 13.5 125cc,1992,dezembro de 2021 ,"R$ 997,00"
801014-5,SST 13.5 125cc,1992,junho de 2021 ,"R$ 940,00"
801014-5,SST 13.5 125cc,1996,setembro de 2020 ,"R$ 1.274,00"
801016-1,SUPER CITY 150,1995,março de 2021 ,"R$ 4.016,00"
801014-5,SST 13.5 125cc,1998,abril de 2021 ,"R$ 1.500,00"
801014-5,SST 13.5 125cc,1997,abril de 2021 ,"R$ 1.419,00"
801014-5,SST 13.5 125cc,1991,junho de 2021 ,"R$ 898,00"
801014-5,SST 13.5 125cc,1995,maio de 2020 ,"R$ 1.144,00"
801016-1,SUPER CITY 150,1996,agosto de 2020 ,"R$ 4.330,00"
801014-5,SST 13.5 125cc,1996,junho de 2020 ,"R$ 1.286,00"
801014-5,SST 13.5 125cc,1997,abril de 2020 ,"R$ 1.467,00"
801014-5,SST 13.5 125cc,1990,junho de 2021 ,"R$ 858,00"
801014-5,SST 13.5 125cc,1993,março de 2021 ,"R$ 987,00"
801014-5,SST 13.5 125cc,1995,junho de 2020 ,"R$ 1.141,00"
801016-1,SUPER CITY 150,1996,maio de 2020 ,"R$ 4.363,00"
801016-1,SUPER CITY 150,1996,outubro de 2021 ,"R$ 4.536,00"
801016-1,SUPER CITY 150,1995,maio de 2020 ,"R$ 4.126,00"
801020-0,SUPER CITY 125,1994,fevereiro de 2020 ,"R$ 2.562,00"
801020-0,SUPER CITY 125,1994,agosto de 2021 ,"R$ 2.707,00"
801014-5,SST 13.5 125cc,1995,janeiro de 2021 ,"R$ 1.120,00"
801020-0,SUPER CITY 125,1994,julho de 2020 ,"R$ 2.527,00"
801014-5,SST 13.5 125cc,1994,março de 2020 ,"R$ 1.080,00"
801014-5,SST 13.5 125cc,1993,julho de 2020 ,"R$ 1.011,00"
801016-1,SUPER CITY 150,1996,setembro de 2020 ,"R$ 4.319,00"
801016-1,SUPER CITY 150,1996,abril de 2021 ,"R$ 4.242,00"
801016-1,SUPER CITY 150,1994,maio de 2021 ,"R$ 3.576,00"
801016-1,SUPER CITY 150,1996,novembro de 2020 ,"R$ 4.297,00"
801016-1,SUPER CITY 150,1995,novembro de 2020 ,"R$ 4.060,00"
801012-9,JUNIOR 50,1995,março de 2020 ,"R$ 988,00"
801016-1,SUPER CITY 150,1995,setembro de 2020 ,"R$ 4.082,00"
801014-5,SST 13.5 125cc,1991,dezembro de 2021 ,"R$ 952,00"
801016-1,SUPER CITY 150,1994,setembro de 2021 ,"R$ 3.781,00"
801012-9,JUNIOR 50,1995,janeiro de 2021 ,"R$ 958,00"
801014-5,SST 13.5 125cc,1992,julho de 2020 ,"R$ 957,00"
801014-5,SST 13.5 125cc,1991,julho de 2020 ,"R$ 915,00"
801016-1,SUPER CITY 150,1994,setembro de 2020 ,"R$ 3.654,00"
801014-5,SST 13.5 125cc,1990,julho de 2020 ,"R$ 876,00"
801016-1,SUPER CITY 150,1995,julho de 2021 ,"R$ 4.109,00"
801010-2,FORCE 50,1997,abril de 2021 ,"R$ 1.509,00"
801016-1,SUPER CITY 150,1994,julho de 2021 ,"R$ 3.679,00"
801017-0,SXT 27.5 E 190cc,1995,agosto de 2021 ,"R$ 2.305,00"
801017-0,SXT 27.5 E 190cc,1995,junho de 2021 ,"R$ 2.244,00"
801016-1,SUPER CITY 150,1996,dezembro de 2020 ,"R$ 4.286,00"
801017-0,SXT 27.5 E 190cc,1994,agosto de 2021 ,"R$ 1.977,00"
801016-1,SUPER CITY 150,1996,março de 2020 ,"R$ 4.385,00"
801011-0,FORCE 90,1998,outubro de 2020 ,"R$ 1.768,00"
801016-1,SUPER CITY 150,1995,dezembro de 2020 ,"R$ 4.049,00"
801017-0,SXT 27.5 E 190cc,1995,julho de 2021 ,"R$ 2.274,00"
801016-1,SUPER CITY 150,1995,agosto de 2021 ,"R$ 4.166,00"
801014-5,SST 13.5 125cc,1993,novembro de 2021 ,"R$ 1.051,00"
801017-0,SXT 27.5 E 190cc,1994,junho de 2021 ,"R$ 1.925,00"
801016-1,SUPER CITY 150,1994,março de 2021 ,"R$ 3.594,00"
801016-1,SUPER CITY 150,1996,janeiro de 2021 ,"R$ 4.275,00"
801014-5,SST 13.5 125cc,1996,novembro de 2020 ,"R$ 1.266,00"
801017-0,SXT 27.5 E 190cc,1994,julho de 2021 ,"R$ 1.951,00"
801011-0,FORCE 90,1997,outubro de 2020 ,"R$ 1.650,00"
801017-0,SXT 27.5 E 190cc,1993,julho de 2021 ,"R$ 1.886,00"
801016-1,SUPER CITY 150,1996,fevereiro de 2020 ,"R$ 4.396,00"
