Código FIPE,Modelo,Ano,Mês de Referência,Preço
515102-3,17-250 E Worker 3-Eixos 2p (diesel),2011,outubro de 2020 ,"R$ 104.787,00"
515173-2,17-260 E Constel. 4x2 2p (diesel) (E5),32000,dezembro de 2020 ,"R$ 300.250,00"
515108-2,17-180 Worker 2p (diesel),2008,setembro de 2021 ,"R$ 100.484,00"
515109-0,17-180 Worker 3-Eixos 2p (diesel),2008,dezembro de 2021 ,"R$ 106.433,00"
515135-0,17-190 E Constellation 2p (diesel)(E5),2020,novembro de 2021 ,"R$ 258.595,00"
515108-2,17-180 Worker 2p (diesel),2008,julho de 2021 ,"R$ 88.248,00"
515108-2,17-180 Worker 2p (diesel),2008,janeiro de 2020 ,"R$ 71.285,00"
515109-0,17-180 Worker 3-Eixos 2p (diesel),2008,outubro de 2021 ,"R$ 102.215,00"
515102-3,17-250 E Worker 3-Eixos 2p (diesel),2011,dezembro de 2020 ,"R$ 102.021,00"
515109-0,17-180 Worker 3-Eixos 2p (diesel),2008,novembro de 2021 ,"R$ 106.062,00"
515076-0,17-210 2p (diesel),2002,março de 2020 ,"R$ 62.002,00"
515111-2,17-250 E Constellation 2p (diesel),2011,outubro de 2020 ,"R$ 110.601,00"
515135-0,17-190 E Constellation 2p (diesel)(E5),2020,julho de 2021 ,"R$ 212.511,00"
515148-1,17-190 E Worker 2p (diesel)(E5),2015,março de 2020 ,"R$ 128.415,00"
515076-0,17-210 2p (diesel),2002,fevereiro de 2020 ,"R$ 61.544,00"
515135-0,17-190 E Constellation 2p (diesel)(E5),2020,agosto de 2021 ,"R$ 221.856,00"
515078-7,17-220/17-220 Worker 2p (diesel),2009,novembro de 2021 ,"R$ 111.521,00"
515173-2,17-260 E Constel. 4x2 2p (diesel) (E5),32000,agosto de 2020 ,"R$ 265.094,00"
515078-7,17-220/17-220 Worker 2p (diesel),2009,fevereiro de 2020 ,"R$ 91.255,00"
515156-2,17-230 Worker 2p (diesel)(E5),2017,dezembro de 2021 ,"R$ 221.896,00"
515078-7,17-220/17-220 Worker 2p (diesel),2009,janeiro de 2020 ,"R$ 92.885,00"
515148-1,17-190 E Worker 2p (diesel)(E5),2015,agosto de 2021 ,"R$ 174.116,00"
515159-7,17-230 E Constellation 2p (diesel)(E5),2021,novembro de 2021 ,"R$ 287.240,00"
515080-9,17-300 2p (diesel),2002,outubro de 2020 ,"R$ 43.445,00"
515089-2,17-310 3-Eixos 2p (diesel),2006,julho de 2020 ,"R$ 82.498,00"
515159-7,17-230 E Constellation 2p (diesel)(E5),2021,dezembro de 2021 ,"R$ 288.245,00"
515079-5,17-220/17-220 Worker 3-Eixos 2p (diesel),2009,março de 2020 ,"R$ 94.541,00"
515101-5,17-250 E Worker 2p (diesel),2009,novembro de 2020 ,"R$ 84.889,00"
515089-2,17-310 3-Eixos 2p (diesel),2006,junho de 2020 ,"R$ 82.861,00"
515079-5,17-220/17-220 Worker 3-Eixos 2p (diesel),2008,janeiro de 2020 ,"R$ 90.956,00"
515156-2,17-230 Worker 2p (diesel)(E5),2016,maio de 2020 ,"R$ 135.225,00"
515079-5,17-220/17-220 Worker 3-Eixos 2p (diesel),2008,fevereiro de 2020 ,"R$ 91.532,00"
515078-7,17-220/17-220 Worker 2p (diesel),2008,março de 2020 ,"R$ 84.754,00"
515129-5,17-250 E Constel. Tractor 4x2 2p (dies.),2009,julho de 2020 ,"R$ 95.918,00"
515102-3,17-250 E Worker 3-Eixos 2p (diesel),2009,setembro de 2020 ,"R$ 97.044,00"
515078-7,17-220/17-220 Worker 2p (diesel),2008,outubro de 2021 ,"R$ 102.007,00"
515102-3,17-250 E Worker 3-Eixos 2p (diesel),2009,agosto de 2020 ,"R$ 98.644,00"
515159-7,17-230 E Constellation 2p (diesel)(E5),2020,fevereiro de 2020 ,"R$ 207.445,00"
515124-4,17-320 E Constellation 2p (diesel),2012,junho de 2020 ,"R$ 124.855,00"
515094-9,18-310 3-Eixos 2p (diesel),2006,outubro de 2021 ,"R$ 98.410,00"
515094-9,18-310 3-Eixos 2p (diesel),2006,setembro de 2021 ,"R$ 95.854,00"
515111-2,17-250 E Constellation 2p (diesel),2009,agosto de 2020 ,"R$ 100.477,00"
515094-9,18-310 3-Eixos 2p (diesel),2006,agosto de 2021 ,"R$ 91.872,00"
515102-3,17-250 E Worker 3-Eixos 2p (diesel),2008,julho de 2020 ,"R$ 95.965,00"
515111-2,17-250 E Constellation 2p (diesel),2008,setembro de 2020 ,"R$ 95.847,00"
515173-2,17-260 E Constel. 4x2 2p (diesel) (E5),2021,outubro de 2020 ,"R$ 222.987,00"
515173-2,17-260 E Constel. 4x2 2p (diesel) (E5),2021,setembro de 2020 ,"R$ 219.055,00"
515136-8,17-280 E Constellation 2p (diesel)(E5),2021,fevereiro de 2021 ,"R$ 262.211,00"
515136-8,17-280 E Constellation 2p (diesel)(E5),2021,janeiro de 2021 ,"R$ 254.784,00"
515110-4,19-320 E Constellation Titan Tractor 2p,2011,novembro de 2021 ,"R$ 149.707,00"
515136-8,17-280 E Constellation 2p (diesel)(E5),2021,dezembro de 2020 ,"R$ 251.252,00"
515173-2,17-260 E Constel. 4x2 2p (diesel) (E5),2019,novembro de 2020 ,"R$ 183.194,00"
515159-7,17-230 E Constellation 2p (diesel)(E5),2017,janeiro de 2020 ,"R$ 152.445,00"
515110-4,19-320 E Constellation Titan Tractor 2p,2010,setembro de 2021 ,"R$ 138.167,00"
515094-9,18-310 3-Eixos 2p (diesel),2004,julho de 2021 ,"R$ 80.854,00"
515089-2,17-310 3-Eixos 2p (diesel),2003,fevereiro de 2020 ,"R$ 65.556,00"
515093-0,18-310 2p (diesel),2004,dezembro de 2021 ,"R$ 70.985,00"
515110-4,19-320 E Constellation Titan Tractor 2p,2010,outubro de 2021 ,"R$ 138.480,00"
515110-4,19-320 E Constellation Titan Tractor 2p,2010,julho de 2021 ,"R$ 128.121,00"
515110-4,19-320 E Constellation Titan Tractor 2p,2010,agosto de 2021 ,"R$ 133.137,00"
515088-4,17-310 2p (diesel),2003,janeiro de 2021 ,"R$ 44.643,00"
515094-9,18-310 3-Eixos 2p (diesel),2004,junho de 2021 ,"R$ 79.859,00"
515089-2,17-310 3-Eixos 2p (diesel),2003,maio de 2020 ,"R$ 65.625,00"
515110-4,19-320 E Constellation Titan Tractor 2p,2010,maio de 2021 ,"R$ 115.865,00"
515138-4,19-330 E Constellation 2p (diesel)(E5),2022,agosto de 2021 ,"R$ 354.564,00"
515138-4,19-330 E Constellation 2p (diesel)(E5),2022,maio de 2021 ,"R$ 329.968,00"
515138-4,19-330 E Constellation 2p (diesel)(E5),2022,abril de 2021 ,"R$ 322.521,00"
515110-4,19-320 E Constellation Titan Tractor 2p,2010,junho de 2021 ,"R$ 123.497,00"
515138-4,19-330 E Constellation 2p (diesel)(E5),2022,março de 2021 ,"R$ 313.122,00"
515161-9,19-360 Constellat. Tractor (diesel)(E5),2022,março de 2021 ,"R$ 322.122,00"
515118-0,19-370 E Constel. Tractor 2p (diesel),2010,maio de 2021 ,"R$ 116.369,00"
515138-4,19-330 E Constellation 2p (diesel)(E5),2021,julho de 2021 ,"R$ 316.855,00"
515118-0,19-370 E Constel. Tractor 2p (diesel),2010,junho de 2021 ,"R$ 124.034,00"
515138-4,19-330 E Constellation 2p (diesel)(E5),2022,junho de 2021 ,"R$ 334.917,00"
515118-0,19-370 E Constel. Tractor 2p (diesel),2010,abril de 2021 ,"R$ 112.769,00"
515118-0,19-370 E Constel. Tractor 2p (diesel),2010,fevereiro de 2021 ,"R$ 107.211,00"
515118-0,19-370 E Constel. Tractor 2p (diesel),2010,março de 2021 ,"R$ 109.604,00"
